2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Player Name,Period Name,Activity Name,Period Name2,Total Duration,Total Distance,HSR,Acceleration B1-3 Total Efforts (Gen 2),Maximum Velocity,Tackles Total (Band1-Band3)
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Marcos Albina,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,5789.19,282.04,62,7.68,21
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Adriel Armenti,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:11:03,4031.04,93.08,17,6.37,39
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Felipe Bares,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:22:48,4377.75,44.8,31,6.49,28
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Thiago Bassagaisteguy,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,6887.56,727.66,55,7.82,28
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ramiro Berardi,Session,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:26:19,1632.85,8.62,8,5.23,22
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Joaquin Briozzo,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,5483.61,115.22,24,5.97,50
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Carlos Augusto Cabano,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,5400.6,148.35,26,7.49,57
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Eliseo Chiavassa,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,5451.48,303.75,37,6.85,73
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Matias Cordero,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,6401.85,283.76,43,7.48,38
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Juan Pedro Cordero,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:11:30,4551.62,157.25,24,6.55,52
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Mateo Fernandez A.,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,6704.38,600.72,43,8.49,6
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Tomas Fernandez A.,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,7860.7,541.32,71,7.59,26
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Bautista Gatti,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,5189.78,129.43,36,7.24,43
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ignacio Guichón,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:03:37,3987.77,233.79,22,6.96,11
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ivan Korenblit,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:20:06,1292.33,14.24,17,5.57,14
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Juan Ignacio Lago,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:23:26,1289.86,21.09,8,5.92,16
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Alfonso Lopez F.,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:11:22,5133.78,369.0,33,7.88,12
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Gaston Martinez S.,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:13:06,991.85,190.14,13,9.27,9
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Manuel Puertas,Session,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:03:09,160.23,0.0,1,4.72,7
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Pedro Rodriguez A.,Session,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:09:40,768.51,102.43,12,6.54,4
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Hipólito San Sebastián,Session,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,01:33:36,5782.54,389.12,57,6.75,50
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Joaquin Tuculet,Session,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,3305.23,95.49,25,6.57,10
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Marcos Albina,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,3024.85,125.03,29,7.68,13
